"# of Use","Kullanım Sayısı"
"%1$s incl tax.","Vergi Dahil %1$s"
"%s - %s","%s - %s"
"%s Item(s)","%s Ürün(ler)"
"%s and above","%s ve üzeri"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","%s adlı dosya kopyalanamadı. Varolmayan dosyaları içeren medyayı silip tekrar deneyiniz."
"Failed to move file: %s","Dosya taşınamadı : %s"
"Feature Products","Öne Çıkan Ürünler"
"Field is not complete","Alan doldurulmadı"
"File options format is not valid.","Dosya seçenekleri biçimi geçersiz."
"File upload failed","Dosya yüklemede hata oluştu"
"Filter model name must be declared.","Filtre model adı belirlenmelidir."
"Filter must be an object. Please set correct filter.","Filtre bir nesne olmalıdır. Lütfen geçerli bir filtre ayarlayınız."
"Filterable (no results)","Filterable (no results)"
"Filterable (with results)","Filterable (with results)"
"First Name","Adı"
"Fixed","Sabit"
"For internal use.","İç kullanım içindir."
"For the last time placed.","Son eklendiğinde."
"Frontend","Önyüz"
"Frontend Model","Önyüz Modeli"
"Frontend Properties","Önyüz Özellikleri"
"Gallery","Galeri"
"General Information","Genel Bilgi"
"Get full information about attribute with list of options","Özellik hakkında seçenekleri dahil olmak üzere bilgi al"
"Get full information about custom option in product","Üründeki özel seçenekle ilgili bilgi al"
"Get list of available custom option types","Kullanılabilir özel seçenek tiplarini listele"
"Get list of non-default attributes by product type and attributes set","Varsayılan olmayan özelliklerin ( ürüne göre ) ve özellik setlerini listele"
"Get list of possible attribute types","Kullanılabilir özellik tiplerini listele"
"Get special price","Özel fiyatı al"
"Global","Genel"
"Globally Editable","Genel olarak Düzenlenebilir"
"Go to Home Page","Ana Sayfaya Git"
"Grid","Kutu"
"Group add","Grup Ekle"
"Group remove","Grup Sil"
"Grouped Product","Grup Ürünü"
"Groups","Gruplar"
"Home","Ana Sayfa"
"ID","No"
"ID: %s","No: %s"
"If empty, the Category Name will be used","Eğer boşsa, Kategori Adı kullanılır"
"If empty, the Product Name will be used","Boş bırakırsanız Ürün Adı kullanılır"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Eğer Mağaza Görünümü bazında seçenek belirtmezseniz Varsayılan (Admin) değerleri kullanılacak."
"Image","Resim"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image does not exist.","Image does not exist."
"Image file was not found.","Image file was not found."
"Image type and information need to be specified for each store view.","Image type and information need to be specified for each store view."
"In Cart","Sepette"
"In Stock","Stokta var"
"In stock","Stokta var"
"Incl. Tax","Vergi Dahil"
"Index product and categories URL rewrites","Ürün ve katalog için adres yeniden yazımını indeksle"
"Index product attributes for layered navigation building","Katmanlı Gezinme için ürün özelliklerini indeksle"
"Index product prices","Ürün fiyatlarını indeksle"
"Indexed category/products association","Kategori/Ürün eşleşmesi indekslendi"
"Info","Bilgi"
"Info Column Options Wrapper","Bilgi Kolonu Seçenek Çerçevesi"
"Input Type","Giriş Tipi"
"Integer","Integer"
"Interval Division Limit","Aralık Bölünme Limiti"
"Invalid Tier Prices","Geçersiz Seviye Fiyatı"
"Invalid attribute %s","Geçersiz özellik %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.",
"Invalid attribute set specified, skipping the record.",
"Invalid block: %s.","Geçersiz blok: %s."
"Invalid category IDs.","Geçersiz kategori numarası"
"Invalid category.","Geçersiz kategori"
"Invalid image file type.","Geçersiz resim dosyası tipi"
"Invalid image type.","Geçersiz resim tipi"
"Invalid option ID specified for %s (%s), skipping the record.","Invalid option ID specified for %s (%s), skipping the record."
"Invalid product type specified, skipping the record.","Invalid product type specified, skipping the record."
"Invalid store specified","Hatalı mağaza seçimi"
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
"Invalid tier prices. The product is not associated to the requested website.","Invalid tier prices. The product is not associated to the requested website."
"Inventory","Envanter"
"Is Default","Varsayılan"
"Is Required","Zorunlu"
"Items %s to %s of %s total","Ürünler %s - %s / Toplam %s "
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Keep your eyes open for our special Back to School items and save A LOT!","Gözünüzü açın kampanyaları yakalayın!"
"Label","Etiket"
"Last Name","Soyad"
"Last Notification","Son Bildirim"
"Layered Navigation","Katmanlı Gezinme"
"Learn More","Daha Fazla Bilgi"
"Line %d, Email: %s","Satır %d, Email: %s"
"Line %d, SKU: %s","Satır %d, Ürün Kodu: %s"
"Link (Related, Up sell, Cross sell)","Bağlantı  (İlişkili Ürün, Up sell, Çapraz Satış)"
"Link product does not exist.","Bağlı ürün bulunamıyor."
"Link to a Specified Category","Belirlenen kategoriyle ilişkilendir"
"Link to a Specified Product","Belirlenen ürünle ilişkilendir"
"List","Liste"
"List Mode","Liste Modu"
"List of Products that are set as New","Yeni olarak işaretlenecek ürün listesi"
"List of types","Tipleri listele"
"Manage Attribute Sets","Özellik Setlerini Yönet"
"Manage Attributes","Özellikleri Yönet"
"Manage Catalog Categories","Katalog Kategorilerini Yönet"
"Manage Categories","Kategorileri Yönet"
"Manage Label / Options","İsim / Seçenek Yönetimi"
"Manage Options (values of your attribute)","Seçenek Yönetimi (Özellik Değerleri)"
"Manage Product Attributes","Ürün Özelliklerini Yönet"
"Manage Product Sets","Ürün Setlerini Yönet"
"Manage Products","Ürünleri Yönet"
"Manage Stock","Stok Yönetimi"
"Manage Titles (Size, Color, etc.)","Başlıkları Yönet (Renk, Ebat, vs)"
"Max Characters","En fazla karakter"
"Maximal Depth","En yüksek derinlik"
"Maximum Image Size","En Yüksek Resim Boyutu"
"Maximum Number of Price Intervals","İzin verilen en fazla Fiyat aralıkları adedi"
"Maximum Qty Allowed in Shopping Cart","Bir sipariş için izin verilen en çok adet"
"Maximum allowed image size for '%s' is %sx%s px.","'%s', izin verilen resim dosyası boyutlarından büyük. %sx%s px."
"Maximum image height","En Yüksek Resim Boyu"
"Maximum image width","En Yüksek Resim Eni"
"Maximum number of characters:","İzin verilen en fazla karakter sayısı :"
"Maximum number of price intervals is 100","İzin verilen en fazla Fiyat aralıkları adedi 100 dür"
"Media Image","Resim Medyası"
"Minimum Advertised Price","Tavsiye Edilen Tüketici Satış Fiyatı"
"Minimum Lines per Page","Sayfa Başı En Az Satır Sayısı"
"Minimum Qty Allowed in Shopping Cart","Alışveriş Sepeti  İçin İzin Verilen En Az Adet"
"Minimum Qty for Item\'s Status to be Out of Stock","Stokta Yok durumu için geçerli minimum miktar"
"Missing SKU, skipping the record.","SKU (Ürün) bulunamadı, kayıt atlanıyor."
"More Views","Diğer Görünümler"
"Move","Taşı"
"Move category in tree","Kategoriyi ağaç içinde taşı"
"Multi update product","Çoklu Güncelleme"
"Must be in the allowed values list.","İzin verilen değerler listesinde olmalıdır."
"N/A","Yok"
"Name","Adı"
"Name in %s","%s'deki Adı"
"New Product","Yeni Ürün"
"New Product Attribute","Yeni Ürün Özelliği"
"New Products","Yeni Ürünler"
"New Products Grid Template","Yeni Ürünler Kutu Görünümü"
"New Products List Template","Yeni Ürünler Liste Görünümü"
"New Root Category","Yeni Kök Kategori"
"New Search","Yeni Arama"
"New Set Name","Yeni Set Adı"
"New Subcategory","Yeni Alt Kategori"
"New products","Yeni Ürünler"
"Next","Sonraki"
"No","Hayır"
"No image","Resim yok"
"No layout updates","Yapısal güncelleme yok"
"No options of this product are available.","Bu ürün için seçenekler yok."
"No product collections found.","Hiç ürün koleksiyonu bulunamadı."
"None","Yok"
"Not Visible Individually","Görünmez"
"Notify Low Stock RSS","Düşük Stok RSS Akışı"
"Notify for Quantity Below","Düşük Ürün Adedi Uyarısı"
"Number of Products per Page","Bir Sayfadaki Ürün Sayısı"
"Number of Products to Display","Gösterilecek Ürün Sayısı"
"Number of Uses","Kullanım Sayısı"
"Number of results","Sonuç sayısı"
"Number of results (For the last time placed)","Number of results (For the last time placed)"
"OK","Tamam"
"OR","VEYA"
"Old Price:","Eski fiyat :"
"On Gesture","Hareket anında"
"Option validation failed to add product to cart.","Ürün sepete eklenirken seçenek doğrulama hatası oldu."
"Option values","Seçenek değerleri"
"Option:","Seçenek:"
"Options","Seçenekler"
"Options Control","Seçenek Kontrolü"
"Options is required","Seçenek gerekli"
"Our customer service is available 24/7. Call us at (555) 555-0123.",
"Out of Stock","Stokta Yok"
"Out of stock","Stokta Yok"
"PM","PM"
"Page Title Separator","Sayfa Başlık Ayracı"
"Parent Category","Üst Kategori"
"Pending","Beklemede"
"Pending Reviews RSS","Bekleyen Yorumlar RSS Akışı"
"Percentage","Yüzde"
"Please add rows to option.","Seçeneğe satır ekle."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Lütfen dikkatli olunuz. Bu satıra bir kere tıkladığınızda seçili dosyadan veriler yüklenecek, kaydedilmemiş verileriniz kaybolacaktır."
"Please click on the Close Window button if it is not closed automatically.","Eğer otomatik kapanmazsa Pencereyi Kapat butonuna basınız."
"Please enter a new group name","Yeni bir Grup Adı giriniz"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>"
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
"Please select a static block ...","Lütfen bir statik blok seçiniz..."
"Please select items.","Lütfen kayıtları seçiniz."
"Please select one or more attributes.","Lütfen bir veya daha fazla özellik seçiniz."
"Please select product(s).","Lütfen ürün(ler) seçiniz."
"Please select products for attributes update","Lütfen özellikleri güncellenecek ürünleri seçiniz"
"Please set up merge date/time","Lütfen birleştirme tarih/saat seçimi yapınız"
"Please set up merge date/time later then present date","Lütfen birleştirme için şu andan daha ilerde bir tarih/saat seçimi yapınız"
"Please specify date required option(s).","Lütfen tarih gereken seçenekleri belirtiniz."
"Please specify the number of products, that will not be divided into subintervals.","En küçük bölünme limiti için ürün sayısını belirtiniz."
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product required option(s).","Please specify the product required option(s)."
"Please specify the product\'s option(s).","Please specify the product\'s option(s)."
"Please specify the product\'s required option(s).","Please specify the product\'s required option(s)."
"Please specify the quantity of product(s).","Please specify the quantity of product(s)."
"Please specify time required option(s).","Please specify time required option(s)."
"Please wait...","Lütfen bekleyiniz..."
"Position","Konum"
"Position in Layered Navigation","Katmanlı Gezinmedeki Pozisyonu"
"Position of attribute in layered navigation block","Özelliğin Katmanlı Gezinme Menüsündeki Yeri"
"Prev","Önceki"
"Previous","Önceki"
"Price","Fiyat"
"Price Navigation Step Calculation","Fiyat Gezinmesi Adım Hesaplaması"
"Price Type","Fiyat Tipi"
"Price is not available","Fiyat Bulunamadı"
"Price values for options should be specified in system base currency.","Ürün Seçeneklerinin ücretlendirilmesi sistemde kullanılan varsayılan para birimi ile yapılmalıdır."
"Price:","Fiyat :"
"Price: %s","Fiyat : %s"
"Print This Page","Bu sayfayı Yazdır"
"Product","Ürün"
"Product API","Ürün API si"
"Product Alerts","Ürün Alarmları"
"Product Attribute","Ürün Özelliği"
"Product Attributes","Ürün Özellikleri"
"Product Categories","Ürün Kategorileri"
"Product Description","Ürün Açıklaması"
"Product Extra Info","Ekstra Ürün Bilgisi"
"Product Flat Data","Ürün için Düz Katalog Verisi"
"Product ID","Ürün No"
"Product Image Placeholders","Ürün Resmi Çerçevesi"
"Product Image Watermarks","Ürün Resmi Kopya Koruması"
"Product Images","Ürün Resimleri"
"Product Images API","Ürün Resimleri API si"
